budget_type,vacation_type,travel_mode,destination_chosen
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Basel
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Nature & Outdoor Adventure,Train,Kyiv
Medium,Urban Entertainment & Nightlife,Train,Antwerp
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Stuttgart
Cheap,Urban Entertainment & Nightlife,Train,Munich
Medium,Cultural & Historical Exploration,Plane,Budapest
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Relaxation & Wellness,Train,Athens
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Cultural & Historical Exploration,Train,Copenhagen
Medium,Nature & Outdoor Adventure,Train,Budapest
Cheap,Cultural & Historical Exploration,Train,Riga
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Cultural & Historical Exploration,Train,Belgrade
Cheap,Relaxation & Wellness,Plane,Birmingham
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Train,Newcastle upon Tyne
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Medium,Cultural & Historical Exploration,Plane,Milan
Medium,Nature & Outdoor Adventure,Train,Zagreb
Expensive,Nature & Outdoor Adventure,Train,London
Cheap,Urban Entertainment & Nightlife,Train,Zagreb
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Antwerp
Medium,Nature & Outdoor Adventure,Train,Munich
Cheap,Nature & Outdoor Adventure,Train,Geneva
Cheap,Relaxation & Wellness,Train,Stockholm
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Cultural & Historical Exploration,Plane,Stuttgart
Medium,Urban Entertainment & Nightlife,Train,Edinburgh
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Cultural & Historical Exploration,Train,Baku
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Cheap,Cultural & Historical Exploration,Train,Kyiv
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Train,Bradford
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Medium,Urban Entertainment & Nightlife,Train,Dublin
Expensive,Nature & Outdoor Adventure,Plane,Prague
Medium,Urban Entertainment & Nightlife,Plane,Edinburgh
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Medium,Cultural & Historical Exploration,Plane,Vienna
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Train,Dublin
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Cultural & Historical Exploration,Plane,Kraków
Expensive,Cultural & Historical Exploration,Plane,London
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Moscow
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Milan
Medium,Nature & Outdoor Adventure,Train,Tbilisi
Medium,Urban Entertainment & Nightlife,Plane,Newcastle upon Tyne
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Nature & Outdoor Adventure,Train,Madrid
Medium,Nature & Outdoor Adventure,Train,Vilnius
Expensive,Cultural & Historical Exploration,Plane,London
Expensive,Nature & Outdoor Adventure,Plane,Belgrade
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Medium,Nature & Outdoor Adventure,Train,Antwerp
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Train,Glasgow
Medium,Cultural & Historical Exploration,Plane,Prague
Expensive,Urban Entertainment & Nightlife,Train,Ljubljana
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Cheap,Urban Entertainment & Nightlife,Train,Moscow
Cheap,Nature & Outdoor Adventure,Plane,Chisinau
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Train,Berlin
Medium,Cultural & Historical Exploration,Plane,Milan
Cheap,Relaxation & Wellness,Plane,Budapest
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Bucharest
Medium,Nature & Outdoor Adventure,Train,Helsinki
Cheap,Urban Entertainment & Nightlife,Train,Oslo
Expensive,Cultural & Historical Exploration,Plane,Moscow
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Saint Petersburg
Cheap,Cultural & Historical Exploration,Train,Baku
Medium,Urban Entertainment & Nightlife,Train,Newcastle upon Tyne
Expensive,Nature & Outdoor Adventure,Train,Sheffield
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Vienna
Cheap,Urban Entertainment & Nightlife,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Basel
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Paris
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Cultural & Historical Exploration,Plane,Munich
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Nature & Outdoor Adventure,Train,London
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Medium,Urban Entertainment & Nightlife,Plane,Nottingham
Medium,Nature & Outdoor Adventure,Train,Belfast
Cheap,Relaxation & Wellness,Plane,Vilnius
Medium,Cultural & Historical Exploration,Plane,Istanbul
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Urban Entertainment & Nightlife,Train,Vilnius
Expensive,Cultural & Historical Exploration,Plane,Basel
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Relaxation & Wellness,Plane,Rome
Medium,Cultural & Historical Exploration,Plane,Istanbul
Medium,Cultural & Historical Exploration,Plane,Lisbon
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Relaxation & Wellness,Train,Oslo
Medium,Nature & Outdoor Adventure,Train,Coventry
Expensive,Cultural & Historical Exploration,Plane,Moscow
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Medium,Urban Entertainment & Nightlife,Train,Coventry
Cheap,Relaxation & Wellness,Plane,Stuttgart
Medium,Cultural & Historical Exploration,Plane,Madrid
Medium,Nature & Outdoor Adventure,Train,Dublin
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Urban Entertainment & Nightlife,Train,Sheffield
Medium,Nature & Outdoor Adventure,Plane,Stuttgart
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Plane,Skopje
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Warsaw
Medium,Cultural & Historical Exploration,Plane,Vienna
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Bristol
Medium,Urban Entertainment & Nightlife,Train,Leicester
Cheap,Cultural & Historical Exploration,Train,Skopje
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Relaxation & Wellness,Plane,Vienna
Medium,Urban Entertainment & Nightlife,Plane,Liverpool
Cheap,Relaxation & Wellness,Plane,Tirana
Medium,Urban Entertainment & Nightlife,Train,Belgrade
Medium,Nature & Outdoor Adventure,Train,Moscow
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Medium,Urban Entertainment & Nightlife,Plane,Birmingham
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Medium,Urban Entertainment & Nightlife,Train,Liverpool
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Cheap,Cultural & Historical Exploration,Train,Riga
Medium,Nature & Outdoor Adventure,Train,Coventry
Medium,Nature & Outdoor Adventure,Train,Budapest
Cheap,Cultural & Historical Exploration,Train,Riga
Cheap,Cultural & Historical Exploration,Train,Belgrade
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Urban Entertainment & Nightlife,Train,Vilnius
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Urban Entertainment & Nightlife,Train,Belfast
Cheap,Nature & Outdoor Adventure,Plane,Zürich
Cheap,Cultural & Historical Exploration,Train,Bucharest
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Relaxation & Wellness,Plane,Liverpool
Expensive,Cultural & Historical Exploration,Plane,Basel
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Cheap,Urban Entertainment & Nightlife,Train,Tbilisi
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Expensive,Cultural & Historical Exploration,Plane,London
Cheap,Nature & Outdoor Adventure,Train,Minsk
Cheap,Cultural & Historical Exploration,Train,Belgrade
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Cheap,Cultural & Historical Exploration,Train,Tirana
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Train,Manchester
Medium,Urban Entertainment & Nightlife,Train,Newcastle upon Tyne
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Newcastle upon Tyne
Medium,Nature & Outdoor Adventure,Train,Edinburgh
Cheap,Urban Entertainment & Nightlife,Train,Zagreb
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Urban Entertainment & Nightlife,Train,Bradford
Medium,Cultural & Historical Exploration,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Plane,Milan
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Train,Birmingham
Cheap,Relaxation & Wellness,Train,Skopje
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Nature & Outdoor Adventure,Train,Rome
Medium,Nature & Outdoor Adventure,Train,Zagreb
Cheap,Urban Entertainment & Nightlife,Train,Belgrade
Medium,Cultural & Historical Exploration,Plane,Milan
Expensive,Urban Entertainment & Nightlife,Plane,Manchester
Medium,Cultural & Historical Exploration,Plane,Warsaw
Expensive,Cultural & Historical Exploration,Plane,Rome
Expensive,Cultural & Historical Exploration,Plane,Moscow
Cheap,Cultural & Historical Exploration,Train,Tirana
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Medium,Cultural & Historical Exploration,Plane,Madrid
Cheap,Relaxation & Wellness,Plane,Helsinki
Medium,Cultural & Historical Exploration,Plane,Athens
Expensive,Cultural & Historical Exploration,Plane,London
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Relaxation & Wellness,Plane,Athens
Cheap,Relaxation & Wellness,Plane,Liverpool
Expensive,Cultural & Historical Exploration,Plane,London
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Urban Entertainment & Nightlife,Plane,Belfast
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Medium,Cultural & Historical Exploration,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Expensive,Cultural & Historical Exploration,Plane,London
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Urban Entertainment & Nightlife,Train,Berlin
Cheap,Urban Entertainment & Nightlife,Train,Birmingham
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Plane,Bucharest
Expensive,Cultural & Historical Exploration,Plane,London
Expensive,Relaxation & Wellness,Plane,Cardiff
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,Glasgow
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Medium,Urban Entertainment & Nightlife,Train,Leeds
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Urban Entertainment & Nightlife,Plane,Minsk
Medium,Cultural & Historical Exploration,Plane,Prague
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Nature & Outdoor Adventure,Train,Lisbon
Cheap,Urban Entertainment & Nightlife,Train,Moscow
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Cultural & Historical Exploration,Plane,Madrid
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Madrid
Expensive,Urban Entertainment & Nightlife,Train,Kraków
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Expensive,Cultural & Historical Exploration,Plane,Basel
Cheap,Urban Entertainment & Nightlife,Train,Vilnius
Medium,Cultural & Historical Exploration,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Train,Manchester
Cheap,Urban Entertainment & Nightlife,Train,Bucharest
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Cardiff
Cheap,Nature & Outdoor Adventure,Plane,Tbilisi
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Cultural & Historical Exploration,Train,Moscow
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Relaxation & Wellness,Plane,Kraków
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Cultural & Historical Exploration,Train,Zagreb
Cheap,Urban Entertainment & Nightlife,Train,Minsk
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Cultural & Historical Exploration,Train,Tirana
Cheap,Urban Entertainment & Nightlife,Train,Lisbon
Cheap,Cultural & Historical Exploration,Train,Ljubljana
Medium,Urban Entertainment & Nightlife,Train,Nottingham
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Cultural & Historical Exploration,Train,Riga
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Medium,Urban Entertainment & Nightlife,Plane,Tirana
Cheap,Relaxation & Wellness,Train,Bradford
Expensive,Cultural & Historical Exploration,Plane,Basel
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Nature & Outdoor Adventure,Train,Dublin
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Cheap,Relaxation & Wellness,Plane,Helsinki
Medium,Nature & Outdoor Adventure,Train,Belgrade
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Medium,Cultural & Historical Exploration,Plane,Munich
Medium,Urban Entertainment & Nightlife,Train,Milan
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Urban Entertainment & Nightlife,Plane,Antwerp
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Belgrade
Cheap,Urban Entertainment & Nightlife,Train,Sofia
Medium,Cultural & Historical Exploration,Plane,Milan
Medium,Nature & Outdoor Adventure,Train,Hamburg
Medium,Urban Entertainment & Nightlife,Train,Leeds
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Cultural & Historical Exploration,Train,Riga
Medium,Urban Entertainment & Nightlife,Plane,Dublin
Cheap,Cultural & Historical Exploration,Train,Chisinau
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Relaxation & Wellness,Plane,Lisbon
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Medium,Relaxation & Wellness,Train,Copenhagen
Medium,Cultural & Historical Exploration,Plane,Milan
Expensive,Cultural & Historical Exploration,Plane,Basel
Medium,Cultural & Historical Exploration,Plane,Madrid
Expensive,Cultural & Historical Exploration,Plane,Paris
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Urban Entertainment & Nightlife,Train,Manchester
Medium,Cultural & Historical Exploration,Plane,Milan
Medium,Cultural & Historical Exploration,Train,Geneva
Medium,Nature & Outdoor Adventure,Train,Belgrade
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Bristol
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Urban Entertainment & Nightlife,Train,Oslo
Medium,Cultural & Historical Exploration,Plane,Istanbul
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Cheap,Cultural & Historical Exploration,Train,Vilnius
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Istanbul
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Relaxation & Wellness,Train,Warsaw
Medium,Nature & Outdoor Adventure,Train,Sheffield
Medium,Urban Entertainment & Nightlife,Train,Birmingham
Cheap,Urban Entertainment & Nightlife,Train,Saint Petersburg
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Cultural & Historical Exploration,Plane,Basel
Cheap,Cultural & Historical Exploration,Train,Kraków
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Moscow
Cheap,Nature & Outdoor Adventure,Plane,Saint Petersburg
Medium,Urban Entertainment & Nightlife,Plane,Belfast
Expensive,Cultural & Historical Exploration,Plane,Paris
Expensive,Cultural & Historical Exploration,Plane,Moscow
Cheap,Relaxation & Wellness,Plane,Belfast
Expensive,Cultural & Historical Exploration,Plane,London
Medium,Urban Entertainment & Nightlife,Plane,Coventry
Medium,Urban Entertainment & Nightlife,Plane,Leeds
Cheap,Cultural & Historical Exploration,Train,Tbilisi
Medium,Relaxation & Wellness,Plane,Lisbon
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Cultural & Historical Exploration,Train,Chisinau
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Train,Liverpool
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,Ljubljana
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Relaxation & Wellness,Plane,Warsaw
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Glasgow
Expensive,Cultural & Historical Exploration,Plane,Basel
Cheap,Relaxation & Wellness,Plane,Sarajevo
Cheap,Nature & Outdoor Adventure,Train,Warsaw
Medium,Cultural & Historical Exploration,Plane,Milan
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Rome
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Relaxation & Wellness,Plane,Lisbon
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Moscow
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Cultural & Historical Exploration,Plane,Moscow
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Train,London
Cheap,Cultural & Historical Exploration,Train,Chisinau
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Prague
Medium,Urban Entertainment & Nightlife,Train,Antwerp
Expensive,Nature & Outdoor Adventure,Plane,Madrid
Cheap,Relaxation & Wellness,Plane,Vilnius
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Train,Athens
Medium,Cultural & Historical Exploration,Plane,Vienna
Expensive,Relaxation & Wellness,Plane,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Medium,Cultural & Historical Exploration,Plane,Prague
Cheap,Cultural & Historical Exploration,Train,Ljubljana
Medium,Urban Entertainment & Nightlife,Plane,Hamburg
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Moscow
Cheap,Urban Entertainment & Nightlife,Train,Bradford
Cheap,Cultural & Historical Exploration,Train,Minsk
Expensive,Cultural & Historical Exploration,Train,Edinburgh
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Cardiff
Medium,Urban Entertainment & Nightlife,Plane,Leicester
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Nature & Outdoor Adventure,Plane,Zagreb
Medium,Nature & Outdoor Adventure,Train,Zürich
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Madrid
Medium,Urban Entertainment & Nightlife,Plane,Bradford
Expensive,Cultural & Historical Exploration,Plane,London
Cheap,Urban Entertainment & Nightlife,Train,Budapest
Cheap,Cultural & Historical Exploration,Train,Riga
Expensive,Cultural & Historical Exploration,Plane,Cardiff
Medium,Urban Entertainment & Nightlife,Train,Edinburgh
Cheap,Relaxation & Wellness,Plane,Sarajevo
Medium,Nature & Outdoor Adventure,Train,Oslo
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Urban Entertainment & Nightlife,Train,Liverpool
Medium,Cultural & Historical Exploration,Plane,Madrid
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Urban Entertainment & Nightlife,Train,Glasgow
Cheap,Cultural & Historical Exploration,Train,Sofia
Expensive,Relaxation & Wellness,Plane,Geneva
Expensive,Cultural & Historical Exploration,Plane,Paris
Medium,Nature & Outdoor Adventure,Train,Coventry
Medium,Urban Entertainment & Nightlife,Plane,Madrid
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Medium,Nature & Outdoor Adventure,Train,Zagreb
Medium,Nature & Outdoor Adventure,Train,Baku
Medium,Cultural & Historical Exploration,Plane,Warsaw
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Sheffield
Expensive,Cultural & Historical Exploration,Plane,Rome
Medium,Urban Entertainment & Nightlife,Plane,Berlin
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Cultural & Historical Exploration,Plane,Athens
Cheap,Urban Entertainment & Nightlife,Train,Hamburg
Medium,Cultural & Historical Exploration,Plane,Istanbul
Expensive,Cultural & Historical Exploration,Plane,Moscow
Expensive,Cultural & Historical Exploration,Plane,London
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Munich
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Urban Entertainment & Nightlife,Plane,Cardiff
Expensive,Cultural & Historical Exploration,Plane,Prague
Cheap,Cultural & Historical Exploration,Train,Kyiv
Expensive,Relaxation & Wellness,Plane,Geneva
Medium,Nature & Outdoor Adventure,Train,Helsinki
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Medium,Cultural & Historical Exploration,Plane,Budapest
Expensive,Relaxation & Wellness,Plane,Geneva
Cheap,Nature & Outdoor Adventure,Train,Tallinn
Cheap,Nature & Outdoor Adventure,Plane,Riga
Expensive,Relaxation & Wellness,Plane,Zürich
Medium,Urban Entertainment & Nightlife,Plane,Manchester
